Pathway	ENTREZID	SYMBOL	GENENAME
Fzd4	14366	Fzd4	frizzled class receptor 4
Fzd4	57265	Fzd2	frizzled class receptor 2
Akt1	11651	Akt1	thymoma viral proto-oncogene 1
Smad3	17127	Smad3	SMAD family member 3
Akt1	11651	Akt1	thymoma viral proto-oncogene 1
Fzd4	14366	Fzd4	frizzled class receptor 4
Fzd4	57265	Fzd2	frizzled class receptor 2
Mapk13	26415	Mapk13	mitogen-activated protein kinase 13
Smad3	17127	Smad3	SMAD family member 3
Id2	15902	Id2	inhibitor of DNA binding 2
Id2	15903	Id3	inhibitor of DNA binding 3
Id2	15904	Id4	inhibitor of DNA binding 4
Lefty1	13590	Lefty1	left right determination factor 1
Lefty1	320202	Lefty2	left-right determination factor 2
